City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
217,Rairangpur,IN,75.31,moderate rain,22.2676,86.1751,"Umaid Bhawan Palace, Jodhpur"
219,Daru,PG,80.15,overcast clouds,-9.0763,143.2092,Motu Hotel
223,Shitanjing,CN,86.14,clear sky,39.2342,106.3439,Daru Lodge
224,Barra Patuca,HN,79.2,scattered clouds,15.8,-84.2833,
227,Jizan,SA,88.74,broken clouds,17.3333,42.6667,
229,Katobu,ID,84.85,scattered clouds,-4.9408,122.5276,شهدان. ابوالحجر
231,Yulara,AU,75.04,clear sky,-25.2406,130.9889,La Ode Husein
234,Lufilufi,WS,89.38,light rain,-13.8745,-171.5986,Desert Gardens Hotel - Ayers Rock Resort
243,Fort Saint James,CA,76.44,broken clouds,54.4333,-124.25,Leuaina Beach Resort and Spa
244,Veraval,IN,82.08,overcast clouds,20.9,70.3667,The View Hotel
248,Chunhuhub,MX,80.49,few clouds,19.55,-88.6833,Lords Inn Somnath
249,Tura,IN,75.06,overcast clouds,25.5198,90.2201,
259,Neiafu,TO,81.28,broken clouds,-18.65,-173.9833,Hotel RIKMAN Continental
262,Alice Springs,AU,81.95,clear sky,-23.7,133.8833,Mystic Sands Beachfront Accommodation
264,Manadhoo,MV,82.44,few clouds,5.7667,73.3833,Desert Palms Alice Springs
265,Pingyi,CN,75.54,overcast clouds,35.5006,117.6308,Vevu Guesthouse
268,Jiuquan,CN,85.53,clear sky,39.7432,98.5174,Yiranju Hotel
274,Sibu,MY,77.31,light rain,2.3,111.8167,Jiuquan Hotel
275,Nayudupeta,IN,86.88,overcast clouds,13.9,79.9,RH HOTEL (4 Star)
277,Saint Anthony,US,76.24,haze,45.0205,-93.218,Hotel Manju
278,Akyab,MM,82.54,overcast clouds,20.15,92.9,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
287,Martapura,ID,82.49,few clouds,-3.4167,114.85,Hotel Memory
289,Gat,IL,78.4,clear sky,31.61,34.7642,Montana Hotel Syariah
291,Saint-Georges,GD,80.28,few clouds,12.0564,-61.7485,OlusHome
292,Masalli,KR,87.48,overcast clouds,34.7959,126.6553,Radisson Grenada Beach Resort
294,Alofi,NU,76.89,broken clouds,-19.0595,-169.9187,영암펜션
297,Satun,TH,82.11,overcast clouds,6.8333,100.0,Taloa Heights
303,Weligama,LK,80.35,scattered clouds,5.9667,80.4167,บ้านไทโฮมสเตย์&รีสอร์ท จ.สตูล
307,Rupert,US,89.49,few clouds,42.6191,-113.6772,Weligama Bay Resort
308,Jinchang,CN,86.88,clear sky,38.4953,102.1739,Uptown Motel
314,Manali,IN,86.09,overcast clouds,13.1667,80.2667,Mingshihui Jinchang International Hotel
316,Kahului,US,84.22,scattered clouds,20.8947,-156.47,Sarathy Lodge
320,Muroran,JP,86.25,overcast clouds,42.3172,140.9881,Maui Seaside Hotel
323,Awjilah,LY,78.55,clear sky,29.1081,21.2869,Muroran Prince Hotel
324,Bambanglipuro,ID,81.63,broken clouds,-7.95,110.2833,
325,Hailun,CN,77.79,overcast clouds,47.45,126.9333,Puri Brata
327,Adrar,MR,86.4,scattered clouds,20.5022,-10.0711,Wanhao Hotel
