City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
59,Avarua,-21.2078,-159.775,75.25,64,75,4.61,CK,2021-07-30 02:18:36,broken clouds
60,Nishihara,26.1842,127.7558,85.68,87,40,6.91,JP,2021-07-30 02:24:25,scattered clouds
61,Tautira,-17.7333,-149.15,80.62,76,27,4.9,PF,2021-07-30 02:24:26,scattered clouds
62,Aktau,43.65,51.2,68.58,32,14,9.42,KZ,2021-07-30 02:24:26,few clouds
63,Torbay,47.6666,-52.7314,59.58,83,1,16.11,CA,2021-07-30 02:18:12,clear sky
64,Merauke,-8.4667,140.3333,82.45,75,100,6.29,ID,2021-07-30 02:24:26,overcast clouds
65,High Level,58.5169,-117.136,77.11,38,20,6.91,CA,2021-07-30 02:24:27,few clouds
66,Tuktoyaktuk,69.4541,-133.0374,59.0,88,75,9.22,CA,2021-07-30 02:18:40,broken clouds
67,Saint George,37.1041,-113.5841,90.07,45,75,18.01,US,2021-07-30 02:18:03,broken clouds
68,Mahanoro,-19.9,48.8,68.22,89,98,4.9,MG,2021-07-30 02:24:27,moderate rain
69,Labuhan,-6.8844,112.2051,83.7,64,39,6.49,ID,2021-07-30 02:19:22,scattered clouds
70,Saskylakh,71.9167,114.0833,83.1,38,17,6.02,RU,2021-07-30 02:18:06,few clouds
71,Victoria,22.2855,114.1577,82.96,93,99,1.01,HK,2021-07-30 02:15:19,light rain
72,East London,-33.0153,27.9116,57.16,67,5,6.04,ZA,2021-07-30 02:18:57,clear sky
73,Yellowknife,62.456,-114.3525,69.33,59,86,4.0,CA,2021-07-30 02:15:12,overcast clouds
74,Iqaluit,63.7506,-68.5145,49.73,81,75,0.0,CA,2021-07-30 02:19:01,broken clouds
75,Abu Zabad,12.35,29.25,70.54,81,100,11.16,SD,2021-07-30 02:24:28,heavy intensity rain
76,Mar Del Plata,-38.0023,-57.5575,48.13,71,0,1.99,AR,2021-07-30 02:21:26,clear sky
77,Hearst,49.6835,-83.6665,55.65,54,94,8.68,CA,2021-07-30 02:24:29,overcast clouds
78,Zhanaozen,43.3,52.8,75.79,27,91,8.48,KZ,2021-07-30 02:15:45,overcast clouds
79,Lompoc,34.6391,-120.4579,71.74,85,90,11.5,US,2021-07-30 02:20:43,overcast clouds
80,Palmer,42.1584,-72.3287,70.99,84,90,5.99,US,2021-07-30 02:18:32,overcast clouds
81,Coihaique,-45.5752,-72.0662,40.95,93,90,4.61,CL,2021-07-30 02:19:13,moderate rain
82,Lavrentiya,65.5833,-171.0,47.14,86,94,10.6,RU,2021-07-30 02:24:30,overcast clouds
83,Mareeba,-17.0,145.4333,86.32,35,0,6.49,AU,2021-07-30 02:19:00,clear sky
84,Mayakonda,14.2833,76.0833,71.8,82,99,15.41,IN,2021-07-30 02:24:30,overcast clouds
85,Butaritari,3.0707,172.7902,83.7,71,11,12.08,KI,2021-07-30 02:18:39,few clouds
86,Te Anau,-45.4167,167.7167,50.99,82,100,1.36,NZ,2021-07-30 02:24:31,overcast clouds
87,Rockland,41.1668,-74.0496,71.85,95,73,6.82,US,2021-07-30 02:24:32,broken clouds
88,Zyryanka,65.75,150.85,50.02,61,100,7.14,RU,2021-07-30 02:22:30,overcast clouds
89,Namibe,-15.1961,12.1522,63.7,80,1,1.16,AO,2021-07-30 02:19:51,clear sky
90,De-Kastri,51.4667,140.7833,66.54,93,100,5.26,RU,2021-07-30 02:24:32,light rain
91,Port Elizabeth,-33.918,25.5701,50.29,87,0,5.75,ZA,2021-07-30 02:18:37,clear sky
92,Kaitangata,-46.2817,169.8464,54.93,81,92,8.81,NZ,2021-07-30 02:19:39,light rain
93,Faanui,-16.4833,-151.75,78.08,76,36,10.0,PF,2021-07-30 02:18:49,light rain
94,Khatanga,71.9667,102.5,84.65,40,0,9.71,RU,2021-07-30 02:18:44,clear sky
95,Tarabuco,-19.1667,-64.9167,37.26,61,46,3.11,BO,2021-07-30 02:24:33,scattered clouds
96,Sao Raimundo Das Mangabeiras,-7.0219,-45.4811,81.32,39,69,2.42,BR,2021-07-30 02:24:33,broken clouds
97,Arraial Do Cabo,-22.9661,-42.0278,63.14,57,99,20.83,BR,2021-07-30 02:18:52,overcast clouds
98,Nantucket,41.2835,-70.0995,71.71,87,90,13.8,US,2021-07-30 02:14:39,overcast clouds
99,Ponta Do Sol,32.6667,-17.1,70.43,79,9,5.7,PT,2021-07-30 02:19:20,clear sky
100,Muroto,33.2833,134.15,81.3,71,3,1.45,JP,2021-07-30 02:14:38,clear sky
101,Ancud,-41.8697,-73.8203,44.13,87,100,9.08,CL,2021-07-30 02:24:34,overcast clouds
102,Progreso,21.2833,-89.6667,77.11,80,64,13.89,MX,2021-07-30 02:24:35,broken clouds
